Employee Number,Attrition,Age,Gender,Marital Status,Department,Job Role,BusinessTravel,Daily Rate,Standard Hours,Hourly Rate,Distance From Home,Education,Education Field,Employee Count,Environment Satisfaction,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Number Companies Worked,Over 18,Over Time,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Experience,Training Times Last Year,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Current Manager
1,No,55,Male,Married,Sales,Manager,Travel_Rarely,685,80,60,26,5,Marketing,1,3,2,5,4,19586,23037,1,Y,No,21,4,3,1,36,3,3,36,6,2,13
2,No,34,Male,Married,Research & Development,Research Scientist,Travel_Rarely,1351,80,45,1,4,Life Sciences,1,2,3,2,4,5484,13008,9,Y,No,17,3,2,1,9,3,2,2,2,2,1
3,No,26,Female,Married,Research & Development,Research Scientist,Travel_Rarely,474,80,89,3,3,Life Sciences,1,1,3,1,4,2061,11133,1,Y,No,21,4,1,0,1,5,3,1,0,0,0
4,No,38,Male,Married,Sales,Sales Executive,Travel_Rarely,1245,80,80,14,3,Life Sciences,1,3,3,2,2,9924,12355,0,Y,No,11,3,4,1,10,3,3,9,8,7,7
5,No,38,Female,Single,Sales,Sales Executive,Travel_Rarely,437,80,90,16,3,Life Sciences,1,2,3,2,2,4198,16379,2,Y,No,12,3,2,0,8,5,4,3,2,1,2
6,No,36,Female,Single,Sales,Sales Executive,Travel_Rarely,884,80,73,1,4,Life Sciences,1,2,3,2,3,6815,21447,6,Y,No,13,3,1,0,15,5,3,1,0,0,0
7,No,29,Male,Single,Research & Development,Laboratory Technician,Travel_Rarely,1370,80,87,3,1,Medical,1,2,3,1,1,4723,16213,1,Y,Yes,18,3,4,0,10,3,3,10,9,1,5
8,No,35,Female,Single,Research & Development,Healthcare Representative,Travel_Rarely,670,80,51,10,4,Medical,1,1,3,2,3,6142,4223,3,Y,Yes,16,3,3,0,10,4,3,5,2,0,4
9,No,39,Male,Married,Sales,Sales Executive,Travel_Rarely,1462,80,38,6,3,Medical,1,4,4,3,3,8237,4658,2,Y,No,11,3,1,1,11,3,3,7,6,7,6
10,No,29,Male,Divorced,Research & Development,Healthcare Representative,Travel_Frequently,995,80,87,2,1,Life Sciences,1,1,3,2,4,8853,24483,1,Y,No,19,3,4,1,6,0,4,6,4,1,3
11,No,50,Male,Married,Sales,Manager,Travel_Rarely,264,80,59,9,3,Marketing,1,3,3,5,3,19331,19519,4,Y,Yes,16,3,3,1,27,2,3,1,0,0,0
12,No,23,Male,Married,Research & Development,Research Scientist,Travel_Rarely,977,80,45,10,3,Technical Degree,1,4,4,1,3,2073,12826,2,Y,No,16,3,4,1,4,2,3,2,2,2,2
13,No,36,Male,Married,Research & Development,Laboratory Technician,Travel_Frequently,1302,80,80,6,4,Life Sciences,1,1,4,2,1,5562,19711,3,Y,Yes,13,3,4,1,9,3,3,3,2,0,2
14,No,42,Male,Single,Research & Development,Manager,Travel_Rarely,1059,80,93,9,2,Other,1,4,2,5,4,19613,26362,8,Y,No,22,4,4,0,24,2,3,1,0,0,1
15,No,35,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,750,80,46,28,3,Life Sciences,1,2,4,2,3,3407,25348,1,Y,No,17,3,4,2,10,3,2,10,9,6,8
16,No,34,Male,Married,Research & Development,Healthcare Representative,Travel_Frequently,653,80,92,10,4,Technical Degree,1,4,2,2,3,5063,15332,1,Y,No,14,3,2,1,8,3,2,8,2,7,7
17,No,40,Female,Married,Sales,Sales Executive,Travel_Rarely,118,80,84,14,2,Life Sciences,1,4,3,2,1,4639,11262,1,Y,No,15,3,3,1,5,2,3,5,4,1,2
18,No,43,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,990,80,87,27,3,Technical Degree,1,4,4,1,2,4876,5855,5,Y,No,12,3,3,1,8,0,3,6,4,0,2
19,No,35,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,1349,80,63,7,2,Life Sciences,1,3,2,1,4,2690,7713,1,Y,No,18,3,4,1,1,5,2,1,0,0,1
20,No,46,Male,Single,Sales,Manager,Travel_Rarely,563,80,56,1,4,Life Sciences,1,4,4,4,1,17567,3156,1,Y,No,15,3,2,0,27,5,1,26,0,0,12
21,Yes,28,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,329,80,51,24,3,Medical,1,3,3,1,2,2408,7324,1,Y,Yes,17,3,3,3,1,3,3,1,1,0,0
22,Yes,41,Female,Single,Sales,Sales Executive,Travel_Rarely,1102,80,94,1,2,Life Sciences,1,2,3,2,4,5993,19479,8,Y,Yes,11,3,1,0,8,0,1,6,4,0,5
23,No,49,Male,Married,Research & Development,Research Scientist,Travel_Frequently,279,80,61,8,1,Life Sciences,1,3,2,2,2,5130,24907,1,Y,No,23,4,4,1,10,3,3,10,7,1,7
24,Yes,37,Male,Single,Research & Development,Laboratory Technician,Travel_Rarely,1373,80,92,2,2,Other,1,4,2,1,3,2090,2396,6,Y,Yes,15,3,2,0,7,3,3,0,0,0,0
25,No,33,Female,Married,Research & Development,Research Scientist,Travel_Frequently,1392,80,56,3,4,Life Sciences,1,4,3,1,3,2909,23159,1,Y,Yes,11,3,3,0,8,3,3,8,7,3,0
26,No,27,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,591,80,40,2,1,Medical,1,1,3,1,2,3468,16632,9,Y,No,12,3,4,1,6,3,3,2,2,2,2
27,No,32,Male,Single,Research & Development,Laboratory Technician,Travel_Frequently,1005,80,79,2,2,Life Sciences,1,4,3,1,4,3068,11864,0,Y,No,13,3,3, ,8,2,2,7,7,3,6
28,No,59,Female,Married,Research & Development,Laboratory Technician,Travel_Rarely,1324,80,81,3,3,Medical,1,3,4,1,1,2670,9964,4,Y,Yes,20,4,1,3,12,3,2,1,0,0,0
29,No,30,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,1358,80,67,24,1,Life Sciences,1,4,3,1,3,2693,13335,1,Y,No,22,4,2,1,1,2,3,1,0,0,0
30,No,38,Male,Single,Research & Development,Manufacturing Director,Travel_Frequently,216,80,44,23,3,Life Sciences,1,4,2,3,3,9526,8787,0,Y,No,21,4,2,0,10,2,3,9,7,1,8
31,No,36,Male,Married,Research & Development,Healthcare Representative,Travel_Rarely,1299,80,94,27,3,Medical,1,3,3,2,3,5237,16577,6,Y,No,13,3,2,2,17,3,2,7,7,7,7
32,No,35,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,809,80,84,16,3,Medical,1,1,4,1,2,2426,16479,0,Y,No,13,3,3,1,6,5,3,5,4,0,3
33,No,29,Female,Single,Research & Development,Laboratory Technician,Travel_Rarely,153,80,49,15,2,Life Sciences,1,4,2,2,3,4193,12682,0,Y,Yes,12,3,4,0,10,3,3,9,5,0,8
34,No,31,Male,Divorced,Research & Development,Research Scientist,Travel_Rarely,670,80,31,26,1,Life Sciences,1,1,3,1,3,2911,15170,1,Y,No,17,3,4,1,5,1,2,5,2,4,3
35,No,34,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,1346,80,93,19,2,Medical,1,2,3,1,4,2661,8758,0,Y,No,11,3,3,1,3,2,3,2,2,1,2
36,Yes,28,Male,Single,Research & Development,Laboratory Technician,Travel_Rarely,103,80,50,24,3,Life Sciences,1,3,2,1,3,2028,12947,5,Y,Yes,14,3,2,0,6,4,3,4,2,0,3
